MONTH,SEASON,PRECIP,DAYNIGHT,SITE,DATE,TIME,HR_SUNRISE,HR_SUNSET,FCH4,FCO2,FN2O,WATER_T,SED_T,P,CHL,O2_CONC,O2_EQ,AOU,EXC_O2,O2_PSAT,O2_PERCENT,PH,PCH4,PCO2,PCO2_AMB,WATER_TK,lnK0,K0,KH,PCO2_AMBEQ,PCO2_EQ,CO2_EXCESS,EXC_CO2,PN2O,DIC,DOC,CH4_k,CH4_kRAT,COND,EBULL,WIND,k600,CH4_TBLk,TBLCH4,TBLCO2,TBLN2O,CO2eCH4,CO2eN2O
Jun,Summer,1,DAY,ENG,06/28/14,16:00,10.0,0.0,0.574,-10.403,-0.186,34.561,35.000,1006.600,2.740,4.164,10.196,6.031,-96.499,40.843,61.257,7.311,NA,NA,NA,307.711,-3.623,0.027,26.707,NA,NA,NA,NA,NA,5.928,0.894,3.675,1.821,0.389330882,NA,NA,NA,NA,NA,NA,NA,14.34246075,-55.42443353
Jun,Summer,1,DAY,ENG,06/28/14,18:00,12.0,0.0,NA,104.104,-0.174,34.876,35.000,1008.600,5.053,3.423,10.196,6.772,-108.354,33.576,50.669,7.320,NA,NA,NA,308.026,-3.630,0.027,26.514,NA,NA,NA,NA,NA,5.669,1.004,-1.713,1.000,0.391,NA,NA,NA,NA,NA,NA,NA,NA,-51.98701297
Jun,Summer,1,DAY,ENG,06/28/14,18:00,12.0,0.0,1.156,4.449,-0.077,34.876,35.000,1008.600,5.053,3.423,10.196,6.772,-108.354,33.576,50.669,7.320,NA,NA,NA,308.026,-3.630,0.027,26.514,NA,NA,NA,NA,NA,5.816,0.794,7.337,-4.282,0.391,NA,NA,NA,NA,NA,NA,NA,28.89270131,-22.83809274
Jun,Summer,1,DAY,ENG,06/28/14,18:00,12.0,0.0,-0.075,100.096,-0.054,34.876,35.000,1008.600,5.053,3.423,10.196,6.772,-108.354,33.576,50.669,7.320,NA,NA,NA,308.026,-3.630,0.027,26.514,NA,NA,NA,NA,NA,5.853,0.900,-0.474,0.277,0.391,NA,NA,NA,NA,NA,NA,NA,-1.86791756,-15.97944647
Jun,Summer,1,NIGHT,ENG,06/28/14,20:00,0.0,1.0,0.948,NA,NA,34.303,34.000,1009.100,30.019,4.330,10.328,5.998,-95.972,41.921,63.447,7.473,NA,NA,NA,307.453,-3.617,0.027,26.867,NA,NA,NA,NA,NA,5.753,1.059,2.349,1.000,0.387683333,NA,NA,NA,NA,NA,NA,NA,23.69161606,NA
Jun,Summer,1,NIGHT,ENG,06/28/14,20:00,0.0,1.0,6.083,177.517,NA,34.303,34.000,1009.100,30.019,4.330,10.328,5.998,-95.972,41.921,63.447,7.473,NA,NA,NA,307.453,-3.617,0.027,26.867,NA,NA,NA,NA,NA,5.881,1.007,15.067,6.413,0.387683333,NA,NA,NA,NA,NA,NA,NA,152.0633768,NA
Jun,Summer,1,NIGHT,ENG,06/28/14,20:00,0.0,1.0,-0.143,225.631,-0.010,34.303,34.000,1009.100,30.019,4.330,10.328,5.998,-95.972,41.921,63.447,7.473,NA,NA,NA,307.453,-3.617,0.027,26.867,NA,NA,NA,NA,NA,6.014,0.758,-0.352,-0.150,0.387683333,NA,NA,NA,NA,NA,NA,NA,-3.576614427,-2.862856031
Jun,Summer,1,NIGHT,ENG,06/28/14,22:00,0.0,3.0,0.099,91.414,0.041,32.759,33.000,1011.100,72.460,2.566,10.466,7.900,-126.400,24.514,36.633,8.100,NA,NA,NA,305.909,-3.581,0.028,27.861,NA,NA,NA,NA,NA,5.961,1.099,0.258,-0.621,0.471,23.67293496,NA,NA,NA,NA,NA,NA,2.483710823,12.35815138
Jun,Summer,1,NIGHT,ENG,06/28/14,22:00,0.0,3.0,0.099,510.978,0.061,32.759,33.000,1011.100,72.460,2.566,10.466,7.900,-126.400,24.514,36.633,8.100,NA,NA,NA,305.909,-3.581,0.028,27.861,NA,NA,NA,NA,NA,5.948,0.866,61.822,-148.548,0.471,NA,NA,NA,NA,NA,NA,NA,2.483710823,18.0996208
Jun,Summer,1,NIGHT,ENG,06/28/14,22:00,0.0,3.0,-0.161,514.020,0.082,32.759,33.000,1011.100,72.460,2.566,10.466,7.900,-126.400,24.514,36.633,8.100,NA,NA,NA,305.909,-3.581,0.028,27.861,NA,NA,NA,NA,NA,6.035,0.936,-0.416,1.000,0.471,NA,NA,NA,NA,NA,NA,NA,-4.027833164,24.29898039
Jun,Summer,1,NIGHT,ENG,06/29/14,0:00,0.0,5.0,0.109,6.390,0.012,30.699,32.000,1012.100,72.460,2.663,10.758,8.095,-129.513,24.755,36.731,8.010,45.303,164.980,127.481,303.849,-3.531,0.029,29.287,0.006,0.213,0.207,9.112,0.279,5.845,1.155,0.293,1.000,0.47037931,NA,0,2.07,1.478139577,0.639401567,65.38099548,-0.108638973,2.716937934,3.715566164
Jun,Summer,1,NIGHT,ENG,06/29/14,0:00,0.0,5.0,0.244,300.989,0.021,30.699,32.000,1012.100,72.460,2.663,10.758,8.095,-129.513,24.755,36.731,8.010,45.022,105.526,96.727,303.849,-3.531,0.029,29.287,0.004,0.136,0.132,5.799,0.277,0.651,1.172,0.654,2.230,0.47037931,NA,0,2.07,1.478139577,0.467488307,-13.0957806,-0.210982308,6.103094616,6.353334509
Jun,Summer,1,NIGHT,ENG,06/29/14,0:00,0.0,5.0,0.140,362.321,0.039,30.699,32.000,1012.100,72.460,2.663,10.758,8.095,-129.513,24.755,36.731,8.010,11.107,107.711,88.994,303.849,-3.531,0.029,29.287,0.004,0.139,0.135,5.938,0.293,1.280,0.962,0.378,1.291,0.47037931,NA,0,2.07,1.478139577,-0.29870353,-8.855428039,-0.166291761,3.498887898,11.49083744
Jun,Summer,1,NIGHT,ENG,06/29/14,2:00,0.0,7.0,0.092,170.197,0.010,28.866,32.000,1012.300,72.470,3.161,11.074,7.913,-126.605,28.543,42.220,7.942,NA,NA,NA,302.016,-3.485,0.031,30.662,NA,NA,NA,NA,NA,5.629,1.022,0.255,-1.214,0.46896,NA,NA,NA,NA,NA,NA,NA,2.295527997,2.865319009
Jun,Summer,1,NIGHT,ENG,06/29/14,2:00,0.0,7.0,0.226,138.142,0.029,28.866,32.000,1012.300,72.470,3.161,11.074,7.913,-126.605,28.543,42.220,7.942,NA,NA,NA,302.016,-3.485,0.031,30.662,NA,NA,NA,NA,NA,5.300,1.458,0.629,-2.989,0.46896,NA,NA,NA,NA,NA,NA,NA,5.648145822,8.595957026
Jun,Summer,1,NIGHT,ENG,06/29/14,2:00,0.0,7.0,-0.076,86.707,NA,28.866,32.000,1012.300,72.470,3.161,11.074,7.913,-126.605,28.543,42.220,7.942,NA,NA,NA,302.016,-3.485,0.031,30.662,NA,NA,NA,NA,NA,5.488,1.078,-0.210,1.000,0.46896,NA,NA,NA,NA,NA,NA,NA,-1.903135588,NA
Jun,Summer,1,NIGHT,ENG,06/29/14,4:00,0.0,9.0,0.018,4.390,0.008,27.333,32.000,1012.900,72.470,1.807,11.416,9.609,-153.738,15.826,23.506,7.934,NA,NA,NA,300.483,-3.445,0.032,31.894,NA,NA,NA,NA,NA,7.911,4.202,0.505,10.975,0.467222222,0.160538584,NA,NA,NA,NA,NA,NA,0.458314215,2.419130581
Jun,Summer,1,NIGHT,ENG,06/29/14,4:00,0.0,9.0,0.016,188.223,0.009,27.333,32.000,1012.900,72.470,1.807,11.416,9.609,-153.738,15.826,23.506,7.934,NA,NA,NA,300.483,-3.445,0.032,31.894,NA,NA,NA,NA,NA,8.019,3.981,0.046,1.000,0.467222222,NA,NA,NA,NA,NA,NA,NA,0.407572284,2.732516214
Jun,Summer,1,NIGHT,ENG,06/29/14,4:00,0.0,9.0,0.018,427.125,NA,27.333,32.000,1012.900,72.470,1.807,11.416,9.609,-153.738,15.826,23.506,7.934,NA,NA,NA,300.483,-3.445,0.032,31.894,NA,NA,NA,NA,NA,7.978,3.921,0.052,1.126,0.467222222,NA,NA,NA,NA,NA,NA,NA,0.458314215,NA
Jun,Summer,1,NIGHT,ENG,06/29/14,6:00,0.0,11.0,1.029,265.077,0.024,31.060,32.000,1013.600,4.825,1.510,10.758,9.248,-147.962,14.036,20.956,7.340,NA,NA,NA,304.210,-3.540,0.029,29.028,NA,NA,NA,NA,NA,6.233,1.306,2.821,13.027,0.388112676,12.50186623,NA,NA,NA,NA,NA,NA,25.73191179,7.109160429
Jun,Summer,1,NIGHT,ENG,06/29/14,6:00,0.0,11.0,1.029,105.353,0.007,31.060,32.000,1013.600,4.825,1.510,10.758,9.248,-147.962,14.036,20.956,7.340,NA,NA,NA,304.210,-3.540,0.029,29.028,NA,NA,NA,NA,NA,6.420,1.226,36.502,168.557,0.388112676,NA,NA,NA,NA,NA,NA,NA,25.73191179,2.004774931
Jun,Summer,1,NIGHT,ENG,06/29/14,6:00,0.0,11.0,0.080,324.318,0.000,31.060,32.000,1013.600,4.825,1.510,10.758,9.248,-147.962,14.036,20.956,7.340,NA,NA,NA,304.210,-3.540,0.029,29.028,NA,NA,NA,NA,NA,6.440,1.259,0.217,1.000,0.388112676,NA,NA,NA,NA,NA,NA,NA,2.009194975,0
Jun,Summer,1,DAY,NAT,06/28/14,8:30,2.5,0.0,0.000,-249.776,0.055,29.143,31.000,1013.600,72.470,3.159,11.074,7.915,-126.637,28.525,42.396,8.109,NA,NA,NA,302.293,-3.492,0.030,30.447,NA,NA,NA,NA,NA,10.760,3.368,-35.149,1.000,0.458326531,41.10859599,NA,NA,NA,NA,NA,NA,0,16.26561285
Jun,Summer,1,DAY,NAT,06/28/14,8:30,2.5,0.0,NA,NA,NA,29.143,31.000,1013.600,72.470,3.159,11.074,7.915,-126.637,28.525,42.396,8.109,NA,NA,NA,302.293,-3.492,0.030,30.447,NA,NA,NA,NA,NA,10.834,3.271,0.000,0.000,0.458326531,29.40772109,NA,NA,NA,NA,NA,NA,NA,NA
Jun,Summer,1,DAY,NAT,06/28/14,8:30,2.5,0.0,0.000,-6.971,0.093,29.143,31.000,1013.600,72.470,3.159,11.074,7.915,-126.637,28.525,42.396,8.109,NA,NA,NA,302.293,-3.492,0.030,30.447,NA,NA,NA,NA,NA,10.840,3.161,95.401,-2.714,0.458326531,NA,NA,NA,NA,NA,NA,NA,0,27.60954833
Jun,Summer,1,DAY,NAT,06/28/14,10:30,4.5,0.0,1.639,134.977,NA,33.364,31.000,1009.900,-1.547,7.348,10.466,3.117,-49.878,70.213,105.967,8.383,NA,NA,NA,306.514,-3.595,0.027,27.464,NA,NA,NA,NA,NA,10.971,3.451,4.455,1.000,0.457395349,10.76189064,NA,NA,NA,NA,NA,NA,40.98011381,NA
Jun,Summer,1,DAY,NAT,06/28/14,10:30,4.5,0.0,1.639,163.520,-0.006,33.364,31.000,1009.900,-1.547,7.348,10.466,3.117,-49.878,70.213,105.967,8.383,NA,NA,NA,306.514,-3.595,0.027,27.464,NA,NA,NA,NA,NA,11.141,3.265,35.455,7.959,0.457395349,11.79638269,NA,NA,NA,NA,NA,NA,40.98011381,-1.908972663
Jun,Summer,1,DAY,NAT,06/28/14,10:30,4.5,0.0,1.639,16.056,-0.077,33.364,35.000,1008.600,-1.547,7.348,10.466,3.117,-49.878,70.213,105.967,8.383,NA,NA,NA,306.514,-3.595,0.027,27.464,NA,NA,NA,NA,NA,11.204,3.441,37.863,8.500,0.391,NA,NA,NA,NA,NA,NA,NA,40.98011381,-22.83809274
Jun,Summer,1,DAY,NAT,06/28/14,12:30,6.5,0.0,17.145,NA,-0.004,39.377,33.000,1008.800,47.630,11.630,10.196,-1.434,22.948,114.068,185.071,8.760,48.482,114.976,72.203,312.527,-3.730,0.024,23.998,0.003,0.121,0.118,5.204,0.429,10.904,3.479,33.325,3.463,0.448642857,NA,2.404979933,3.025713975,1.014043697,0.901607447,224.080519,0.684615249,428.6234324,-1.315876099
Jun,Summer,1,DAY,NAT,06/28/14,12:30,6.5,0.0,11.965,NA,-0.022,39.377,33.000,1008.800,47.630,11.630,10.196,-1.434,22.948,114.068,185.071,8.760,81.758,147.786,71.117,312.527,-3.730,0.024,23.998,0.003,0.156,0.153,6.731,0.404,10.990,3.534,23.920,2.486,0.448642857,NA,2.404979933,3.025713975,1.014043697,1.520426484,288.0239743,0.645708536,299.1272781,-6.652678772
Jun,Summer,1,DAY,NAT,06/28/14,14:30,6.5,0.0,1.406,-57.778,0.084,33.668,35.000,1007.800,4.217,3.353,10.328,6.975,-111.593,32.468,48.622,7.358,26.532,239.721,87.017,306.818,-3.602,0.027,27.268,0.004,0.288,0.284,12.492,0.384,11.068,3.313,9.623,1.000,0.388258503,NA,2.404979933,3.025713975,1.014043697,0.493415888,467.1979928,0.612844067,35.15436815,25.07170858
Jun,Summer,1,DAY,NAT,06/28/14,14:30,8.5,0.0,1.406,-57.778,0.084,33.668,35.000,1007.800,4.217,3.353,10.328,6.975,-111.593,32.468,48.622,7.358,NA,NA,NA,306.818,-3.602,0.027,27.268,NA,NA,NA,NA,NA,11.353,3.879,4.095,6.983,0.388258503,NA,NA,NA,NA,NA,NA,NA,35.15436815,25.07170858
Jun,Summer,1,DAY,NAT,06/28/14,14:30,8.5,0.0,0.261,337.300,0.030,33.668,35.000,1007.800,4.217,3.353,10.328,6.975,-111.593,32.468,48.622,7.358,NA,NA,NA,306.818,-3.602,0.027,27.268,NA,NA,NA,NA,NA,11.440,3.563,0.764,1.303,0.388258503,NA,NA,NA,NA,NA,NA,NA,6.525229198,9.066067942
Jun,Summer,1,DAY,NAT,06/28/14,14:30,8.5,0.0,0.200,55.520,0.126,33.668,35.000,1007.800,4.217,3.353,10.328,6.975,-111.593,32.468,48.622,7.358,NA,NA,NA,306.818,-3.602,0.027,27.268,NA,NA,NA,NA,NA,11.462,3.626,0.586,1.000,0.388258503,NA,NA,NA,NA,NA,NA,NA,5.007249015,37.40654202
Jun,Summer,1,DAY,NAT,06/28/14,16:30,10.5,0.0,3.193,-346.513,0.068,33.296,34.000,1006.600,5.654,3.603,10.466,6.863,-109.804,34.425,51.933,7.450,NA,NA,NA,306.446,-3.593,0.028,27.508,NA,NA,NA,NA,NA,11.113,3.477,8.900,164.628,0.388904762,6.664280254,NA,NA,NA,NA,NA,NA,79.82134751,20.34844825
Jun,Summer,1,DAY,NAT,06/28/14,16:30,10.5,0.0,3.193,NA,NA,33.296,34.000,1006.600,5.654,3.603,10.466,6.863,-109.804,34.425,51.933,7.450,NA,NA,NA,306.446,-3.593,0.028,27.508,NA,NA,NA,NA,NA,11.257,3.520,29.238,540.856,0.388904762,NA,NA,NA,NA,NA,NA,NA,79.82134751,NA
Jun,Summer,1,DAY,NAT,06/28/14,16:30,10.5,0.0,0.020,-74.605,0.067,33.296,34.000,1006.600,5.654,3.603,10.466,6.863,-109.804,34.425,51.933,7.450,NA,NA,NA,306.446,-3.593,0.028,27.508,NA,NA,NA,NA,NA,11.109,3.275,0.054,1.000,0.388904762,NA,NA,NA,NA,NA,NA,NA,0.502703857,20.04172353
Jun,Summer,1,DAY,NAT,06/28/14,18:30,12.5,0.0,1.859,179.826,0.078,38.508,36.000,1006.800,72.440,7.783,10.196,2.413,-38.605,76.334,122.133,8.703,NA,NA,NA,311.658,-3.711,0.024,24.450,NA,NA,NA,NA,NA,11.331,3.739,4.153,14.595,0.431,5.613428057,NA,NA,NA,NA,NA,NA,46.46622594,23.17179867
Jun,Summer,1,DAY,NAT,06/28/14,18:30,12.5,0.0,0.128,NA,0.129,38.508,36.000,1006.800,72.440,7.783,10.196,2.413,-38.605,76.334,122.133,8.703,NA,NA,NA,311.658,-3.711,0.024,24.450,NA,NA,NA,NA,NA,11.323,3.524,0.285,1.000,0.431,NA,NA,NA,NA,NA,NA,NA,3.195743687,38.41841634
Jun,Summer,1,DAY,NAT,06/28/14,18:30,12.5,0.0,1.859,272.880,0.013,38.508,36.000,1006.800,72.440,7.783,10.196,2.413,-38.605,76.334,122.133,8.703,NA,NA,NA,311.658,-3.711,0.024,24.450,NA,NA,NA,NA,NA,11.404,3.484,15.597,54.817,0.431,NA,NA,NA,NA,NA,NA,NA,46.46622594,3.992086401
Jun,Summer,1,NIGHT,NAT,06/28/14,20:30,0.0,1.5,8.582,18.021,0.113,35.171,34.000,1009.100,72.440,2.493,10.196,7.703,-123.239,24.451,37.060,8.259,NA,NA,NA,308.321,-3.637,0.026,26.335,NA,NA,NA,NA,NA,11.600,3.894,10.676,3.559,0.465978723,NA,NA,NA,NA,NA,NA,NA,214.5531311,33.60347578
Jun,Summer,1,NIGHT,NAT,06/28/14,20:30,0.0,1.5,2.510,-29.240,NA,35.171,34.000,1009.100,72.440,2.493,10.196,7.703,-123.239,24.451,37.060,8.259,NA,NA,NA,308.321,-3.637,0.026,26.335,NA,NA,NA,NA,NA,11.738,3.899,3.000,1.000,0.465978723,NA,NA,NA,NA,NA,NA,NA,62.74131465,NA
Jun,Summer,1,NIGHT,NAT,06/28/14,20:30,0.0,1.5,3.141,447.268,0.039,35.171,34.000,1009.100,72.440,2.493,10.196,7.703,-123.239,24.451,37.060,8.259,NA,NA,NA,308.321,-3.637,0.026,26.335,NA,NA,NA,NA,NA,11.561,3.601,4.114,1.372,0.465978723,NA,NA,NA,NA,NA,NA,NA,78.51516394,11.65509342
Jun,Summer,1,NIGHT,NAT,06/28/14,22:30,0.0,3.5,4.260,4.857,-0.025,32.680,34.000,1011.100,72.378,1.093,10.466,9.373,-149.963,10.442,15.599,8.050,NA,NA,NA,305.830,-3.579,0.028,27.913,NA,NA,NA,NA,NA,11.709,4.107,9.985,10.158,0.470364865,2.841003404,NA,NA,NA,NA,NA,NA,106.5105149,-7.357069792
Jun,Summer,1,NIGHT,NAT,06/28/14,22:30,0.0,3.5,0.701,206.768,-0.011,32.680,34.000,1011.100,72.378,1.093,10.466,9.373,-149.963,10.442,15.599,8.050,NA,NA,NA,305.830,-3.579,0.028,27.913,NA,NA,NA,NA,NA,11.740,3.816,0.983,1.000,0.4704,NA,NA,NA,NA,NA,NA,NA,17.53303467,-3.410831217
Jun,Summer,1,NIGHT,NAT,06/28/14,22:30,0.0,3.5,4.260,366.844,0.059,32.680,34.000,1011.100,72.378,1.093,10.466,9.373,-149.963,10.442,15.599,8.050,NA,NA,NA,305.830,-3.579,0.028,27.913,NA,NA,NA,NA,NA,11.753,3.799,5.995,6.099,0.4704,NA,NA,NA,NA,NA,NA,NA,106.5105149,17.45108267
Jun,Summer,1,NIGHT,NAT,06/29/14,0:30,0.0,5.5,2.046,2.028,0.005,30.602,32.000,1012.100,72.446,1.182,10.758,9.576,-153.210,10.987,16.274,7.980,24.337,122.386,127.481,303.752,-3.528,0.029,29.357,0.006,0.158,0.153,6.712,0.362,11.055,3.640,1.824,2.731,0.470925926,NA,0,2.07,1.520419453,0.765920901,191.0102389,0.476499841,51.14858373,1.555735775
Jun,Summer,1,NIGHT,NAT,06/29/14,0:30,0.0,5.5,1.838,32.467,0.005,30.602,32.000,1012.100,72.446,1.182,10.758,9.576,-153.210,10.987,16.274,7.980,29.675,113.729,96.727,303.752,-3.528,0.029,29.357,0.004,0.147,0.143,6.279,0.438,11.306,3.814,2.583,3.869,0.470925926,NA,0,2.07,1.520419453,0.933911366,177.4990002,0.576595644,45.95731565,1.60623808
Jun,Summer,1,NIGHT,NAT,06/29/14,0:30,0.0,5.5,0.466,118.850,0.019,30.602,32.000,1012.100,72.446,1.182,10.758,9.576,-153.210,10.987,16.274,7.980,20.853,113.172,88.994,303.752,-3.528,0.029,29.357,0.004,0.146,0.142,6.263,0.420,11.166,3.350,0.668,1.000,0.470925926,NA,0,2.07,1.520419453,0.656262954,176.6297907,0.552890654,11.64101486,5.654555746
Jun,Summer,1,NIGHT,NAT,06/29/14,2:30,0.0,7.5,13.672,-43.547,0.019,28.900,21.000,1012.300,72.460,1.214,11.074,9.860,-157.755,10.961,16.215,7.950,NA,NA,NA,302.050,-3.486,0.031,30.635,NA,NA,NA,NA,NA,11.487,3.953,19.782,3.100,0.469962963,NA,NA,NA,NA,NA,NA,NA,341.7893487,5.74261318
Jun,Summer,1,NIGHT,NAT,06/29/14,2:30,0.0,7.5,4.417,-56.187,0.012,28.900,21.000,1012.300,72.460,1.214,11.074,9.860,-157.755,10.961,16.215,7.950,NA,NA,NA,302.050,-3.486,0.031,30.635,NA,NA,NA,NA,NA,11.647,3.976,6.381,1.000,0.469962963,NA,NA,NA,NA,NA,NA,NA,110.4144426,3.620708632
Jun,Summer,1,NIGHT,NAT,06/29/14,2:30,0.0,7.5,NA,NA,-0.005,28.900,21.000,1012.300,72.460,1.214,11.074,9.860,-157.755,10.961,16.215,7.950,NA,NA,NA,302.050,-3.486,0.031,30.635,NA,NA,NA,NA,NA,11.629,3.891,0.000,0.000,0.469962963,NA,NA,NA,NA,NA,NA,NA,NA,-1.364399423
Jun,Summer,1,NIGHT,NAT,06/29/14,4:30,0.0,9.5,9.924,322.417,0.019,27.339,30.000,1012.900,72.381,1.438,11.416,9.978,-159.635,12.597,18.681,7.940,NA,NA,NA,300.489,-3.446,0.032,31.890,NA,NA,NA,NA,NA,7.764,1.466,68.803,22.031,0.467986301,39.96429653,NA,NA,NA,NA,NA,NA,248.0929913,5.749431447
Jun,Summer,1,NIGHT,NAT,06/29/14,4:30,0.0,9.5,9.924,87.215,0.004,27.339,30.000,1012.900,72.381,1.438,11.416,9.978,-159.635,12.597,18.681,7.940,NA,NA,NA,300.489,-3.446,0.032,31.890,NA,NA,NA,NA,NA,7.626,1.324,13.318,4.264,0.467986301,NA,NA,NA,NA,NA,NA,NA,248.0929913,1.304267906
