MONTH,SEASON,PRECIP,DAYNIGHT,SITE,HR_SUNRISE,HR_SUNSET,FCH4,WATER_T,CHL,O2_CONC,O2_PERCENT,PH,CH4_k,COND,EBULL
AugWet,Summer,1,NIGHT,ENG,0.0,1.0,0.140,30.277,3.744,0.937,12.841,7.312,1.717,0.389577103,1.242106223
AugWet,Summer,1,NIGHT,ENG,0.0,1.0,0.063,30.277,3.744,0.937,12.841,7.312,0.060,0.389577103,1.948944962
AugWet,Summer,1,NIGHT,ENG,0.0,3.0,0.953,30.078,4.238,0.810,11.044,7.323,3.339,0.392478076,1.833493475
AugWet,Summer,1,NIGHT,ENG,0.0,3.0,0.953,30.078,4.238,0.810,11.044,7.323,1.323,0.392478076,2.466414706
AugWet,Summer,1,NIGHT,ENG,0.0,5.0,0.724,29.898,4.986,0.650,8.857,7.323,0.842,0.39317873,19.01194372
AugWet,Summer,1,DAY,NAT,4.5,0.0,0.474,28.320,28.615,2.677,35.428,8.176,0.456,0.628718981,2.229306814
AugWet,Summer,1,DAY,NAT,8.5,0.0,NA,30.459,35.434,5.043,69.296,8.331,0.000,0.717053864,5.634800832
AugWet,Summer,1,DAY,NAT,8.5,0.0,3.519,30.459,35.434,5.043,69.296,8.331,3.315,0.717053864,10.03290809
AugWet,Summer,1,DAY,NAT,12.5,0.0,6.309,29.932,38.599,3.756,51.130,8.322,3.400,0.614812971,11.14620646
AugWet,Summer,1,NIGHT,NAT,0.0,7.5,NA,27.547,21.213,2.800,36.534,8.151,0.000,0.612742664,4.306957522
Jan,Winter,1,DAY,ENG,2.0,0.0,0.063,13.428,6.245,7.933,78.125,7.578,0.025,0.35275,0.611404259
Jan,Winter,1,DAY,ENG,2.0,0.0,0.077,13.428,6.245,7.933,78.125,7.578,0.013,0.35275,0.000406919
Jan,Winter,1,DAY,ENG,2.0,0.0,0.000,13.428,6.245,7.933,78.125,7.578,0.000,0.35275,0.000426045
Jan,Winter,1,DAY,ENG,2.0,0.0,0.688,13.428,6.245,7.933,78.125,7.578,0.109,0.35275,0.001723252
Jan,Winter,1,DAY,ENG,4.0,0.0,0.009,13.509,10.007,8.814,87.014,7.084,0.002,0.352428571,1.84444E-07
Jan,Winter,1,DAY,ENG,4.0,0.0,0.074,13.509,10.007,8.814,87.014,7.084,0.017,0.352428571,0.001749607
Jan,Winter,1,DAY,ENG,4.0,0.0,0.262,13.509,10.007,8.814,87.014,7.084,0.060,0.352428571,0.002952326
Jan,Winter,1,DAY,ENG,12.0,0.0,0.083,13.480,10.676,8.184,80.738,7.969,0.152,0.352,0.510567031
Jan,Winter,1,DAY,ENG,12.0,0.0,0.238,13.480,10.676,8.184,80.738,7.969,0.430,0.352,0.000143107
Jan,Winter,1,DAY,ENG,12.0,0.0,0.748,13.480,10.676,8.184,80.738,7.969,1.521,0.352,2.35174E-05
Jan,Winter,1,NIGHT,ENG,0.0,1.0,0.380,13.545,12.029,7.759,76.656,7.933,0.080,0.352,7.21839E-06
