MONTH,DATE,TIME_HR,TIME,SITE,FCH4_M,FCH4_SE,FCO2_M,FCO2_SE,FN2O_M,FN2O_SE,WATER_T,O2_CONC,O2_PERCENT,PH
Jun,6/28/14,18:30,7,NAT,1.282,0.577,226.353,37.98913642,0.073333333,0.033567511,38.508,7.783,122.133,8.703
Jun,6/28/14,20:30,8,NAT,4.744333333,1.927459842,145.3496667,151.5744158,0.076,0.030210373,35.171,2.493,37.06,8.259
Jun,6/28/14,22:30,9,NAT,3.073666667,1.186333333,192.823,104.7290063,0.007666667,0.0259829,32.68,1.093,15.599,8.05
Jun,6/29/14,0:30,10,NAT,1.45,0.495650414,51.115,34.9888356,0.009666667,0.004666667,30.602,1.182,16.274,7.98
Jun,6/29/14,2:30,11,NAT,9.0445,3.778337928,-49.867,5.160258391,0.008666667,0.007125853,28.9,1.214,16.215,7.95
Jun,6/29/14,4:30,12,NAT,7.339666667,2.584333333,240.9196667,76.89911018,0.012333333,0.004409586,27.339,1.438,18.681,7.94
AugDry,8/10/14,6:00,1,ENG,13.161,3.648,-20.964,72.366,-0.038666667,0.015333333,29,0.415,5.575,7.38
AugDry,8/9/14,8:00,2,ENG,10.17966667,2.634486562,32.975,12.593485,0.030333333,0.017032648,30,1.272,17.516,7.37
AugDry,8/9/14,10:00,3,ENG,8.923,4.902176693,43.83133333,20.76557874,-0.017,0.015044379,29,1.179,16.208,7.314
AugDry,8/9/14,12:00,4,ENG,6.370666667,0.777173583,29.51766667,22.4177891,-0.015333333,0.002905933,30,1.839,25.474,7.38
AugDry,8/9/14,14:00,5,ENG,8.055333333,3.114017252,52.81133333,28.77615321,-0.02,0.0140119,30,2.886,40.014,7.411
AugDry,8/9/14,16:00,6,ENG,4.543666667,1.421944365,23.30566667,7.753333677,0.034,0.014933185,30,2.344,32.456,7.383
AugDry,8/9/14,18:00,7,ENG,14.12133333,1.693942181,47.18866667,27.4504851,0.066,0.052080067,30,1.516,20.906,7.32
AugDry,8/9/14,20:00,8,ENG,3.724666667,0.653007742,-98.43633333,17.64225226,0.043,0.021283797,30,0.538,7.393,7.31
AugDry,8/9/14,22:00,9,ENG,13.08333333,4.603145531,-19.048,20.34015389,0.265333333,0.141234242,27,0.416,5.657,7.33
AugDry,8/10/14,0:00,10,ENG,5.244,1.038667897,69.578,36.91721856,-0.032666667,0.011695203,26,0.388,5.276,7.31
AugDry,8/10/14,4:00,12,ENG,5.691333333,3.096516125,125.571,32.39853735,0.029666667,0.022849751,25,0.689,9.311,7.34
AugDry,8/10/14,6:30,1,NAT,7.839666667,5.221187902,-1.313,21.23312498,-0.00675,0.027842314,29,1.764,22.584,7.94
AugDry,8/9/14,8:30,2,NAT,15.00433333,7.478504693,-59.725,68.36700878,0.0415,0.013472194,30,1.88,24.787,8.103
AugDry,8/9/14,10:30,3,NAT,4.1475,1.537173561,-81.0025,26.47024027,0.0195,0.007310571,29,2.47,32.727,8.192
AugDry,8/9/14,12:30,4,NAT,6.693,4.752010101,139.358,85.8750279,0.057,0.026501572,30,3.965,53.849,8.367
AugDry,8/9/14,14:30,5,NAT,32.65766667,10.14449106,39.8635,21.84540396,0.069333333,0.041650664,30,4.918,67.67,8.361
AugDry,8/9/14,16:30,6,NAT,22.75,10.09179936,27.5575,12.98841936,0.0155,0.002857738,30,4.921,67.702,8.363
AugDry,8/9/14,18:30,7,NAT,7.721666667,2.655333333,-67.5825,58.64286586,0.0505,0.017078251,29,3.801,51.721,8.38
AugDry,8/9/14,20:30,8,NAT,8.3235,2.413964075,-11.1425,63.2952232,0.141,0.043615746,30,2.818,37.602,8.27
AugDry,8/9/14,22:30,9,NAT,5.0375,1.488881515,-21.08975,20.9370036,-0.006,0.00057735,27,2.272,29.931,8.18
AugDry,8/10/14,0:30,10,NAT,15.516,0,-18.844,0,0.022,0,26,2.466,32.194,8.18
AugDry,8/10/14,2:30,11,NAT,2.0285,1.409681347,182.242,5.681999707,-0.033,0,26,2.466,32.194,8.18
AugDry,8/10/14,4:30,12,NAT,1.458666667,0.793666667,117.1636667,52.83766667,0.00225,0.016318871,25,1.803,24.208,7.35
AugWet,8/14/14,6:00,1,ENG,0.4015,0.285365555,110.862,21.98743643,0.1255,0.049398043,29.255,0.72,9.701,7.368
AugWet,8/13/14,8:00,2,ENG,-0.068333333,0.114385799,44.75366667,48.74220225,0.0145,0.003036811,30.493,1.163,15.984,7.364
AugWet,8/13/14,10:00,3,ENG,1.423666667,0.846218714,5.727,37.01749644,0.178,0.135538432,30.546,1.069,14.715,7.319
AugWet,8/13/14,12:00,4,ENG,1.78475,1.155060496,72.90625,24.47889908,0.0055,0.014216579,30.873,1.74,24.079,7.379
AugWet,8/13/14,14:00,5,ENG,3.320333333,1.407208387,191.051,98.41199826,0.008666667,0.011406626,31.042,2.974,41.242,7.418
AugWet,8/13/14,16:00,6,ENG,0.751,0.429616496,26.256,37.1900617,0.009,0.027300794,30.871,2.651,36.683,7.388
AugWet,8/13/14,18:00,7,ENG,0.571666667,0.470691808,-57.051,82.63108698,-0.029,0,30.779,1.787,24.701,7.314
AugWet,8/13/14,20:00,8,ENG,0.5465,0.33190586,-37.53525,27.98386307,0.011333333,0.041702651,30.277,0.937,12.841,7.312
AugWet,8/13/14,22:00,9,ENG,0.50075,0.233626661,31.4035,19.99885901,-0.01775,0.017374151,30.078,0.81,11.044,7.323
AugWet,8/14/14,0:00,10,ENG,0.820666667,0.458091815,-22.57666667,43.5760571,-0.0135,0.013472194,29.898,0.65,8.857,7.323
AugWet,8/14/14,2:00,11,ENG,0.830666667,0.453687607,1.62975,34.77853161,0.024,0.007023769,29.898,0.65,8.857,7.323
AugWet,8/14/14,4:00,12,ENG,1.731,0.693779023,27.521,62.94860143,0.0235,0.025873624,29.292,1.22,16.437,7.347
AugWet,8/13/14,8:30,2,NAT,2.17,0.57319194,69.57833333,2.007611544,0.017333333,0.002185813,28.015,2.24,29.464,8.123
AugWet,8/13/14,10:30,3,NAT,0.364666667,0.109333333,-51.768,29.30922944,0.018333333,0.007264832,28.32,2.677,35.428,8.176
AugWet,8/13/14,12:30,4,NAT,1.285333333,0.355248426,-55.66533333,38.98742064,-0.053666667,0.031714,29.736,4.224,57.305,8.327
AugWet,8/13/14,14:30,5,NAT,4.027666667,0.400563076,-46.31566667,35.11326348,-0.002666667,0.010105004,30.459,5.043,69.296,8.331
AugWet,8/13/14,16:30,6,NAT,1.691666667,0.544333333,-57.962,22.72954211,0.025,0.01040833,30.375,5.163,70.81,8.477
AugWet,8/13/14,18:30,7,NAT,8.312666667,2.438398404,-13.482,7.623513254,-0.048,0.013228757,29.932,3.756,51.13,8.322
AugWet,8/13/14,20:30,8,NAT,22.29633333,5.31476109,-19.58566667,3.359875857,0.03,0.016862186,28.804,3.057,40.812,8.265
AugWet,8/13/14,22:30,9,NAT,1.944333333,1.041136772,97.168,16.0091248,0,0.016563011,28.015,3.074,40.473,8.169
AugWet,8/14/14,0:30,10,NAT,0.352666667,0.057735989,-75.314,26.27238463,-0.017333333,0.008412953,27.547,2.8,36.534,8.151
AugWet,8/14/14,2:30,11,NAT,10.29533333,3.364666667,38.139,14.49986541,-0.002,0.002516611,27.547,2.8,36.534,8.151
AugWet,8/14/14,4:30,12,NAT,0.777666667,0.151139376,17.58233333,6.366904961,-0.038333333,0.003711843,26.484,4.739,60.661,8.118
Jan,1/5/15,6:00,1,ENG,0.349666667,0.234538791,2.327,20.605,0.000666667,0.004055175,13.314,8.393,82.533,7.958
Jan,1/4/15,8:00,2,ENG,0.276,0.20603964,-19.651,5.282071974,0.051666667,0.030168048,13.428,7.933,78.125,7.578
Jan,1/4/15,10:00,3,ENG,0.203333333,0.064759384,50.313,0.443274182,-0.143,0.027319102,13.509,8.814,87.014,7.084
Jan,1/4/15,12:00,4,ENG,0.289333333,0.130138815,-35.46033333,29.29525147,0.020666667,0.017419657,13.522,8.545,84.417,7.373
Jan,1/4/15,14:00,5,ENG,0.906,0.741786582,-49.3285,20.60045932,0,0.035087193,13.596,9.42,93.197,7.853
Jan,1/4/15,16:00,6,ENG,0.107666667,0.089335199,76.08033333,33.2301384,0.02,0.046758243,13.637,9.916,98.16,7.784
Jan,1/4/15,18:00,7,ENG,0.131666667,0.053230108,71.26233333,24.71946912,0.253333333,0.137562511,13.48,8.184,80.738,7.969
Jan,1/4/15,20:00,8,ENG,0.378333333,0.100751068,64.71566667,8.597225702,-0.427333333,0.315697288,13.545,7.759,76.656,7.933
Jan,1/4/15,22:00,9,ENG,0.162333333,0.019055475,43.78433333,13.18389288,-0.043333333,0.036798249,13.43,8.514,83.892,8.003
Jan,1/5/15,0:00,10,ENG,0.253333333,0.023139673,51.72733333,7.341618585,0.212,0.043775945,13.407,8.352,82.266,7.992
Jan,1/5/15,2:00,11,ENG,0.191666667,0.063333333,37.73433333,20.48659453,-0.052333333,0.049058921,13.392,9.038,88.965,7.953
Jan,1/5/15,4:00,12,ENG,0.106333333,0.048841012,40.57666667,25.91786582,0,0.05173329,13.29,8.416,82.67,8.009
Jan,1/5/15,6:30,1,NAT,0.081333333,0.02733943,29.044,12.77942827,0.056666667,0.009683893,13.461,8.41,82.946,7.97
Jan,1/4/15,8:30,2,NAT,0.051,0.006027714,-1.562,13.14186008,-0.018,0.01474223,13.559,8.836,87.34,7.719
Jan,1/4/15,10:30,3,NAT,-0.503,0.200335552,37.26133333,4.144757184,0.107666667,0.016271994,13.555,8.798,86.933,7.185
Jan,1/4/15,12:30,4,NAT,0.048333333,0.024037009,57.526,23.10462095,0.034,0.030315013,13.56,8.208,81.145,7.964
Jan,1/4/15,14:30,5,NAT,0.054,0.017009801,51.165,2.526873364,0.080666667,0.050834153,13.56,8.511,84.118,7.978
Jan,1/4/15,16:30,6,NAT,-0.05925,0.008019074,14.94466667,3.726963793,-0.061,0.055860938,13.533,8.608,85.02,8
Jan,1/4/15,18:30,7,NAT,0.070333333,0.033338333,30.5,10.91936115,0.003333333,0.02733943,13.421,8.51,83.879,8.02
Jan,1/4/15,20:30,8,NAT,0.084666667,0.04807055,61.38233333,16.60911573,-0.089666667,0.002603417,13.328,8.526,83.846,8.02
Jan,1/4/15,22:30,9,NAT,-0.257,0.036097091,-17.36933333,15.86184395,0.063333333,0.00120185,13.283,8.399,82.531,8.015
Jan,1/5/15,0:30,10,NAT,0.140333333,0.02073912,3.643,0.811678713,0.058333333,0.033413238,13.381,8.457,83.249,8.032
Jan,1/5/15,2:30,11,NAT,-0.025,0.046608297,62.95733333,20.88637403,0.017333333,0.02735162,13.376,8.325,81.969,7.995
Jan,1/5/15,4:30,12,NAT,0.068666667,0.032671768,32.34066667,16.94102608,-0.038333333,0.019598753,13.409,8.38,82.544,7.992
